name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,general_mounting_tasks,overall_mounting_tasks,two_hour_minimum,elite_status
Aiur Z.,$103.24,5.0,610,Not found,None,1053,1387,False,False
Timur Y.,$113.56,5.0,759,Not found,None,1323,1722,False,True
Balzhinima A.,$98.07,5.0,1241,Not found,None,2388,2793,False,False
Raksha B.,$98.07,5.0,1499,Not found,None,2509,3016,False,False
Nozimbek B.,$103.24,4.9,336,Not found,None,817,750,False,False
Aleksandr O.,$98.07,5.0,879,Not found,None,1813,2088,False,False
Andrei S.,$98.07,5.0,589,Not found,None,954,1438,False,True
Aleksandr Z.,$92.91,5.0,221,Not found,None,465,477,False,False
Ivan P.,$92.91,5.0,125,Not found,None,293,261,False,False
Aaron M.,$72.26,4.9,126,Not found,None,377,249,False,False
Vitalii I.,$98.07,5.0,1537,Not found,None,2495,2864,False,False
Roman M.,$98.07,5.0,571,Not found,None,1097,1342,False,False
Vladislav L.,$87.75,5.0,400,Not found,None,709,856,False,False
Elbek B.,$87.75,5.0,171,Not found,None,114,248,False,False
Beligto D.,$103.24,5.0,740,Not found,None,839,1315,False,False
